place_id,name,business_status,business_address,lat,lng,types,rating,user_ratings_total,keyword,grid_lat,grid_lng
ChIJE3png0KDRo4Ry6cNPlMgvIU,¡Qué Paellas!,CLOSED_TEMPORARILY,"Cl. 65 Sur #42B 31, Alto Las Flores, Sabaneta, Antioquia, Colombia",6.1513974,-75.6114831,"meal_delivery,food_delivery,food,point_of_interest,establishment",,,meal_delivery,,
ChIJGS5P6EKXRo4R3vniG5Bp9oc,Hamburguesas en La Ceja Antioquia | Qsollados,CLOSED_TEMPORARILY,"Cra. 18 #10-72 Local 104, La Ceja, Antioquia, Colombia",6.0234095,-75.4317901,"hamburger_restaurant,meal_delivery,fast_food_restaurant,food_delivery,american_restaurant,restaurant,point_of_interest,food,establishment",4.8,24,"meal_delivery,restaurant",,
ChIJI_nFrg0pRI4RJlxIu9r2pzU,ALIBENTTO,CLOSED_TEMPORARILY,"Cl. 18B #80b, Medellín, Belén, Medellín, Antioquia, Colombia",6.2241177,-75.60201769999999,"restaurant,meal_delivery,food_delivery,meal_takeaway,point_of_interest,food,establishment",5,4,"restaurant,meal_delivery,meal_takeaway",,
ChIJJ1hXLf4pRI4Rq56rETV_wEU,Las delicias de maro,CLOSED_TEMPORARILY,"Cra. 41 #65-44, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia",6.2583692,-75.5535869,"meal_delivery,food_delivery,point_of_interest,food,establishment",5,3,meal_delivery,,
ChIJJcpQpD6hRo4RGQlOL46VD10,PATACONESDEPAULITA,CLOSED_TEMPORARILY,"Marinilla, Antioquia, Colombia",6.173506,-75.33466709999999,"meal_delivery,food_delivery,food,point_of_interest,establishment",,,meal_delivery,,
ChIJJf96ri0oRI4RoCg9E_FlqgA,Artigiani Restaurante,CLOSED_TEMPORARILY,"Cra. 43B #14 54, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",6.2153081,-75.57075499999999,"italian_restaurant,meal_delivery,food_delivery,restaurant,point_of_interest,food,establishment",4.8,449,"meal_delivery,restaurant",,
ChIJK1tU6BmDRo4Rwoi-ksq6eKE,El Rincón Del Tamal | Venta de Tamales en Sabaneta,CLOSED_TEMPORARILY,"Edificio Loma Linda, Cl. 70 Sur #38 - 305, Sabaneta, Antioquia, Colombia",6.149498599999999,-75.6138801,"meal_delivery,food_delivery,point_of_interest,food_store,food,store,establishment",4.9,140,meal_delivery,,
ChIJL3U7XkuBRo4RaTzlqn6_Izg,La Galgueria By Sebastian Palacios Cocina,CLOSED_TEMPORARILY,"mall galaxia, Cra. 48 #52 2 Local 204, Rionegro, Antioquia, Colombia",6.1552935,-75.3719644,"hamburger_restaurant,meal_delivery,vegetarian_restaurant,food_delivery,american_restaurant,restaurant,point_of_interest,food,establishment",4.1,7,"meal_delivery,restaurant",,
ChIJO7OiydeDRo4RmcS042uzjhU,Sabor de mi tierra,CLOSED_TEMPORARILY,"Cl. 40 Sur #23a - 44, Envigado, Antioquia, Colombia",6.1422519,-75.5739646,"meal_delivery,food_delivery,point_of_interest,food,establishment",,,meal_delivery,,
ChIJOzG0I_wpRI4RgpGSzSRrj8Y,Restaurante La Calle Cocina Inspirada en Colombia,CLOSED_TEMPORARILY,"Cq. 4 #71 18, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",6.2465079,-75.5905985,"meal_delivery,food_delivery,restaurant,point_of_interest,food,establishment",4.5,77,"meal_delivery,restaurant",,
